mode,affinity,rmsd_l,rmsd_u,true_rmsd,num
1.0,-10.4,0.0,0.0,0.711211,2
1.0,-10.8,0.0,0.0,0.728497,4
1.0,-10.4,0.0,0.0,0.740658,1
1.0,-7.5,0.0,0.0,0.787477,20
1.0,-8.2,0.0,0.0,0.795625,18
1.0,-10.1,0.0,0.0,0.807475,3
1.0,-10.1,0.0,0.0,0.817994,0
1.0,-7.7,0.0,0.0,0.852494,22
1.0,-9.8,0.0,0.0,0.876292,5
1.0,-8.0,0.0,0.0,0.884449,21
1.0,-5.7,0.0,0.0,0.887029,23
1.0,-5.7,0.0,0.0,0.919436,19
1.0,-8.3,0.0,0.0,4.43658,35
1.0,-8.9,0.0,0.0,4.46533,30
1.0,-9.8,0.0,0.0,4.79036,34
1.0,-8.4,0.0,0.0,4.83107,32
1.0,-6.1,0.0,0.0,4.99849,10
1.0,-3.8,0.0,0.0,5.03163,15
1.0,-3.9,0.0,0.0,5.14126,11
1.0,-6.4,0.0,0.0,5.16436,9
1.0,-5.3,0.0,0.0,5.1863,6
1.0,-5.8,0.0,0.0,5.20413,7
1.0,-6.3,0.0,0.0,5.21604,14
1.0,-5.9,0.0,0.0,5.22084,27
1.0,-5.9,0.0,0.0,5.22277,12
1.0,-3.2,0.0,0.0,5.24255,25
1.0,-3.7,0.0,0.0,5.26582,33
1.0,-6.2,0.0,0.0,5.28736,16
1.0,-6.6,0.0,0.0,5.29759,17
1.0,-4.3,0.0,0.0,5.31251,13
1.0,-5.9,0.0,0.0,5.39278,8
1.0,-4.9,0.0,0.0,5.40854,28
1.0,-4.0,0.0,0.0,5.54201,26
1.0,-2.6,0.0,0.0,5.69405,29
1.0,-5.4,0.0,0.0,5.7685,24
1.0,-6.7,0.0,0.0,6.04962,31
